N,P,K,temperature,humidity,ph,rainfall,label
88,51,44,33.50357877325125,84.04412797734227,5.839234390265786,152.04282995937288,rice
62,44,54,30.977414465088305,72.41893962129157,6.377516622907171,263.44378760082714,rice
86,49,44,27.98039071541944,87.80193043627985,7.322856602123396,269.8554691416588,rice
68,41,50,22.99927144299,79.59128728248908,7.304617900005075,295.6105567166453,rice
82,59,45,22.49791064357486,74.04285454780846,6.7932976614082845,162.46408979913647,rice
78,50,45,34.84098297848564,74.21288920882657,6.2973015334230755,173.09636401760957,rice
86,59,57,27.857940865760984,82.73801085295791,6.45408227416716,286.91164686673017,rice
61,40,54,27.099642100485017,83.5895689237086,5.6949548530983485,155.01233474631726,rice
68,57,44,32.89166457277772,82.16942308154901,6.4022507165112845,157.15162209628977,rice
67,55,45,28.306851317041662,89.54694481601926,5.578954561772322,262.8949477482314,rice
60,41,51,20.24582059741147,82.20995217755717,5.384549035280985,150.2574026396813,rice
69,52,57,23.779275923209383,83.11029013058425,6.070137815471446,271.8726676644941,rice
71,47,47,30.70867145172572,77.16442617748311,6.347725469029723,217.6738828362556,rice
60,45,44,34.128967867571,87.10094324893541,5.309615134898766,246.84643954555168,rice
64,48,49,31.722172796768465,83.09304566782623,5.448301702927015,199.82747511236494,rice
79,59,42,31.5589220704244,82.89699991538532,7.083163201351852,199.53660330158365,rice
62,58,59,24.442537079834626,83.23910972896105,6.527802856761367,284.6653066339543,rice
71,57,45,33.88466225834846,82.86424833720056,6.061235179438726,225.95021931807753,rice
75,56,50,30.710290286281136,83.83528949655842,5.517096419894823,164.3850139054819,rice
77,44,56,30.719720106096084,70.43423802316563,6.823400172978447,219.55848379938357,rice
84,46,46,21.26753442051501,74.64730599432829,6.081660932210161,157.5319340797258,rice
74,54,47,26.25678941337207,75.832119430376,6.115281816355644,173.831100889072,rice
76,41,49,28.034460886539797,71.08287837269813,6.472493420855216,180.53867322640244,rice
63,50,54,31.66430192445039,83.30787342637586,6.8273763225896165,162.53079381642684,rice
66,48,47,30.5627113707165,87.52304099297986,5.201052842444856,189.12155955517534,rice
79,46,49,23.18432634866299,71.63631759595631,6.168649436781705,275.90087314263326,rice
74,52,46,32.45010653235556,88.75653923899878,5.255102039791885,209.31606366921721,rice
81,43,48,26.221644626008715,82.73220375698266,5.8494308634461945,196.09839239719062,rice
63,58,55,21.097681132224086,70.57442553449042,6.39062202151096,207.96518423833834,rice
71,57,49,29.82311033830615,83.64061317503733,5.829327998710499,183.88836848769336,rice
79,45,47,33.4685717700121,87.67273152304621,6.630613530072904,225.27553979511146,rice
